Classification Code,Start Range,End Range,Start Range Number,End Range Number,Group1,Group2,Group3,Group4,Group5
BL,BL430.001,BL434.999,430.001,434.999,Religions.  Mythology.  Rationalism,Religious doctrines (General),,,
BL,BL435,BL457,435.0,457.0,Religions.  Mythology.  Rationalism,Religious doctrines (General),Nature worship,,
BL,BL457.001,BL457.999,457.001,457.999,Religions.  Mythology.  Rationalism,Religious doctrines (General),,,
BL,BL458,BL458,458.0,458.0,Religions.  Mythology.  Rationalism,Religious doctrines (General),Women in comparative religion,,
BL,BL458.001,BL459.999,458.001,459.999,Religions.  Mythology.  Rationalism,Religious doctrines (General),,,
BL,BL460,BL460,460.0,460.0,Religions.  Mythology.  Rationalism,Religious doctrines (General),Sex worship. Phallicism,,
BL,BL460.001,BL464.999,460.001,464.999,Religions.  Mythology.  Rationalism,Religious doctrines (General),,,
BL,BL465,BL470,465.0,470.0,Religions.  Mythology.  Rationalism,Religious doctrines (General),Worship of human beings,,
BL,BL470.001,BL472.999,470.001,472.999,Religions.  Mythology.  Rationalism,Religious doctrines (General),,,
BL,BL473,BL490,473.0,490.0,Religions.  Mythology.  Rationalism,Religious doctrines (General),Other,,
BL,BL490.001,BL499.999,490.001,499.999,Religions.  Mythology.  Rationalism,Religious doctrines (General),,,
BL,BL500,BL547,500.0,547.0,Religions.  Mythology.  Rationalism,Eschatology,,,
BL,BL547.001,BL549.999,547.001,549.999,Religions.  Mythology.  Rationalism,,,,
BL,BL550,BL619,550.0,619.0,Religions.  Mythology.  Rationalism,Worship. Cultus,,,
BL,BL619.001,BL623.999,619.001,623.999,Religions.  Mythology.  Rationalism,,,,
BL,BL624,BL629.5,624.0,629.5,Religions.  Mythology.  Rationalism,Religious life,,,
BL,BL629.501,BL629.999,629.501,629.999,Religions.  Mythology.  Rationalism,,,,
BL,BL630,BL632.5,630.0,632.5,Religions.  Mythology.  Rationalism,Religious organization,,,
BL,BL632.501,BL659.999,632.501,659.999,Religions.  Mythology.  Rationalism,,,,
BL,BL660,BL660,660.0,660.0,Religions.  Mythology.  Rationalism,History and principles of religions,Indo-European. Aryan,,
BL,BL660.001,BL684.999,660.001,684.999,Religions.  Mythology.  Rationalism,History and principles of religions,,,
BL,BL685,BL685,685.0,685.0,Religions.  Mythology.  Rationalism,History and principles of religions,Ural-Altaic,,
BL,BL685.001,BL686.999,685.001,686.999,Religions.  Mythology.  Rationalism,History and principles of religions,,,
BL,BL687,BL687,687.0,687.0,Religions.  Mythology.  Rationalism,History and principles of religions,Mediterranean region,,
BL,BL687.001,BL688.999,687.001,688.999,Religions.  Mythology.  Rationalism,History and principles of religions,,,
BL,BL689,BL699.999,689.0,699.999,Religions.  Mythology.  Rationalism,History and principles of religions,,,
BL,BL700,BL820,700.0,820.0,Religions.  Mythology.  Rationalism,History and principles of religions,European. Occidental,"Classical (Etruscan, Greek, Roman)",
BL,BL820.001,BL829.999,820.001,829.999,Religions.  Mythology.  Rationalism,History and principles of religions,European. Occidental,,
BL,BL830,BL875,830.0,875.0,Religions.  Mythology.  Rationalism,History and principles of religions,European. Occidental,Germanic and Norse,
BL,BL875.001,BL899.999,875.001,899.999,Religions.  Mythology.  Rationalism,History and principles of religions,European. Occidental,,
BL,BL900,BL980,900.0,980.0,Religions.  Mythology.  Rationalism,History and principles of religions,European. Occidental,Other European,
BL,BL980.001,BL999.999,980.001,999.999,Religions.  Mythology.  Rationalism,History and principles of religions,European. Occidental,,
BL,BL1000,BL1035,1000.0,1035.0,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,General,
BL,BL1035.001,BL1049.999,1035.001,1049.999,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,,
BL,BL1050,BL1050,1050.0,1050.0,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,Northern and Central Asia,
BL,BL1050.001,BL1054.999,1050.001,1054.999,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,,
BL,BL1055,BL1055,1055.0,1055.0,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,Southern and Eastern Asia,
BL,BL1055.001,BL1059.999,1055.001,1059.999,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,,
BL,BL1060,BL1060,1060.0,1060.0,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,Southwestern Asia. Asia Minor. Levant,
BL,BL1060.001,BL1099.999,1060.001,1099.999,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,,
BL,BL1100,BL1107.5,1100.0,1107.5,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,Hinduism,General
BL,BL1107.501,BL1108.199,1107.501,1108.199,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,,
BL,BL1108.2,BL1108.7,1108.2,1108.7,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,Hinduism,Religious education
BL,BL1108.701,BL1109.199,1108.701,1109.199,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,,
BL,BL1109.2,BL1109.7,1109.2,1109.7,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,Hinduism,Antiquities. Archaeology. Inscriptions
BL,BL1109.701,BL1110.999,1109.701,1110.999,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,,
BL,BL1111,BL1112.199,1111.0,1112.199,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,,
BL,BL1112.2,BL1137.5,1112.2,1137.5,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,Hinduism,Vedic texts
BL,BL1137.501,BL1140.199,1137.501,1140.199,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,,
BL,BL1140.2,BL1140.4,1140.2,1140.4,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,Hinduism,Puranas
BL,BL1140.401,BL1141.199,1140.401,1141.199,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,,
BL,BL1141.2,BL1142.6,1141.2,1142.6,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,Hinduism,Tantric texts
BL,BL1142.601,BL1143.2,1142.601,1143.2,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,,
BL,BL1143.201,BL1144.999,1143.201,1144.999,Religions.  Mythology.  Rationalism,History and principles of religions,Asian. Oriental,,
