Code,Range Start,Range End,Normalized Subject,LJ Subject
HF,5381,5386,"Business (HD-HG, TX)",Business & Economics
HF,5387,5387.5,"Business (HD-HG, TX)",Business & Economics
HF,5410,5417.5,"Business (HD-HG, TX)",Business & Economics
HF,5428,5429.6,"Business (HD-HG, TX)",Business & Economics
HF,5437,5444,"Business (HD-HG, TX)",Business & Economics
HF,5469.7,5481,"Business (HD-HG, TX)",Business & Economics
HF,5546,5548.6,"Business (HD-HG, TX)",Business & Economics
HF,5548.7,5548.85,"Business (HD-HG, TX)",Business & Economics
HF,5549,5549.5,"Business (HD-HG, TX)",Business & Economics
HF,5549.501,5600.999,"Business (HD-HG, TX)",Business & Economics
HF,5601,5689,"Business (HD-HG, TX)",Business & Economics
HF,5691,5716,"Business (HD-HG, TX)",Business & Economics
HF,5717,5734.7,"Business (HD-HG, TX)",Business & Economics
HF,5735,5746,"Business (HD-HG, TX)",Business & Economics
HF,5801,6182,"Business (HD-HG, TX)",Business & Economics
HG,1,177.999,"Business (HD-HG, TX)",Business & Economics
HG,179.001,200.999,"Business (HD-HG, TX)",Business & Economics
HG,201,257.999,"Business (HD-HG, TX)",Business & Economics
HG,1501,1620.999,"Business (HD-HG, TX)",Business & Economics
HG,1811,2351,"Business (HD-HG, TX)",Business & Economics
HG,2397,3550,"Business (HD-HG, TX)",Business & Economics
HG,3810,4000,"Business (HD-HG, TX)",Business & Economics
HG,4001,4285,"Business (HD-HG, TX)",Business & Economics
HG,4501,4529.999,"Business (HD-HG, TX)",Business & Economics
HG,4900,5993,"Business (HD-HG, TX)",Business & Economics
HG,6001,6051,"Business (HD-HG, TX)",Business & Economics
HG,8011,8053.499,"Business (HD-HG, TX)",Business & Economics
HG,8054.451,8058.999,"Business (HD-HG, TX)",Business & Economics
HG,8751,8778.999,"Business (HD-HG, TX)",Business & Economics
HG,8779,8793,"Business (HD-HG, TX)",Business & Economics
HJ,99.801,209.999,"Political Science (HJ, HX, J-JC, JV)",Political Science
HJ,241,1620,"Political Science (HJ, HX, J-JC, JV)",Political Science
HJ,2005,2216,"Political Science (HJ, HX, J-JC, JV)",Political Science
HJ,2240,2320.999,"Political Science (HJ, HX, J-JC, JV)",Political Science
HJ,9103,9695,"Political Science (HJ, HX, J-JC, JV)",Political Science
HM,1,299,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HM,299.001,434.999,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HM,435,460.999,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HM,473.001,477,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HM,481,554,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HM,554.001,620.999,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HM,621,656,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HM,661,696,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HM,711,755.999,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HM,786,806,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HM,811,821,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HM,831,901,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HM,1001,1040.999,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HM,1106,1171,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HM,1176,1281,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HN,1,29.999,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HN,50,995,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HQ,12,18.999,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HQ,19,30.7,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HQ,31,64,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HQ,71,72,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HQ,74,74.2,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HQ,75,76.8,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HQ,77.7,77.95,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HQ,79.001,100.999,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HQ,101,440.7,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HQ,503,749.999,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HQ,750,755.5,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
HQ,755.7,759.92,"Sociology & Social History (HM-HN, HQ, HS-HT)",Sociology
